instr,filter,CONDITION,FAILED_MC,condition_string,impurity_1,impurity_2,impurity_3,dissonance_1,dissonance_2,dissonance_3,neg_aff1,neg_aff2,neg_aff3,pos_aff1,pos_aff2,pos_aff3,embarrassed,ashamed,alientation_1,alientation_2,alientation_3,alientation_4,MCheck,age,male,decided_to_help,neutralDummy,failureDummy,inauthenticityDummy
1,1,0,0,neutral,1,1,1,1,1,6,3,2,3,2,1,1,1,1,2,1,1,2,2,30,2,0,1,0,0
1,1,0,0,neutral,1,1,1,2,2,2,4,2,3,5,6,5,1,1,3,3,2,2,2,31,1,0,1,0,0
1,1,0,0,neutral,1,1,1,2,2,2,2,2,2,5,5,2,5,2,5,2,2,2,2,29,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,2,33,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,4,5,6,4,4,1,1,1,1,2,20,1,0,1,0,0
1,1,0,0,neutral,2,2,2,3,2,2,1,1,2,4,4,4,2,2,2,2,2,2,2,18,1,1,1,0,0
1,1,0,0,neutral,1,1,1,2,1,1,1,1,1,5,5,2,1,1,2,2,2,2,2,31,1,1,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,5,5,4,1,1,2,2,1,1,2,39,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,5,1,1,2,1,1,1,2,33,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,5,1,5,6,6,5,1,1,1,1,1,1,2,28,1,0,1,0,0
1,1,0,0,neutral,1,1,1,2,5,6,4,4,5,5,5,2,6,5,3,2,3,4,2,28,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,6,1,1,4,1,1,1,2,29,1,0,1,0,0
1,1,0,0,neutral,2,1,1,5,5,5,3,2,2,2,2,2,5,5,4,3,5,3,2,34,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,7,6,1,1,1,1,1,1,2,19,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,7,7,7,1,1,7,1,1,1,2,22,2,1,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,4,5,2,2,2,1,1,1,1,2,21,2,0,1,0,0
1,1,0,0,neutral,4,7,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,2,28,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,2,40,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,30,1,0,1,0,0
1,1,0,0,neutral,1,1,1,5,5,6,1,1,1,3,3,3,5,1,2,1,1,1,2,27,2,0,1,0,0
1,1,0,0,neutral,1,1,1,2,2,5,5,4,5,4,4,2,2,2,2,2,2,2,2,23,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,2,21,2,1,1,0,0
1,1,0,0,neutral,1,1,1,5,5,6,5,3,3,3,3,3,4,4,1,1,1,3,2,31,2,0,1,0,0
1,1,0,0,neutral,2,2,2,2,2,6,6,2,2,4,5,3,2,5,2,2,2,2,2,45,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,7,1,1,1,1,1,1,2,29,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,2,31,1,1,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,5,1,1,2,2,1,1,2,19,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,5,5,5,1,1,6,6,7,3,1,1,1,6,1,2,20,2,0,1,0,0
1,1,0,0,neutral,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,37,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,5,2,1,1,1,1,1,2,35,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,4,1,1,1,1,1,1,2,58,2,0,1,0,0
1,1,0,0,neutral,1,1,1,5,5,4,4,4,6,1,3,1,6,6,5,2,5,2,2,24,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,5,5,3,1,1,1,1,1,1,2,20,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,2,30,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,2,24,1,0,1,0,0
1,1,0,0,neutral,1,1,1,3,4,3,1,1,5,5,6,4,4,4,3,4,1,1,2,37,2,1,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,7,7,7,1,1,3,1,1,1,2,28,1,0,1,0,0
1,1,0,0,neutral,1,1,1,4,4,6,2,2,2,2,3,2,2,2,4,2,1,1,2,35,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,2,31,2,0,1,0,0
1,1,0,0,neutral,1,1,1,6,6,6,5,5,5,3,3,2,5,6,1,1,1,1,2,40,1,0,1,0,0
1,1,0,0,neutral,1,1,1,3,3,5,5,1,5,2,2,2,2,2,5,3,3,3,2,34,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,5,6,2,1,1,2,1,1,1,2,23,2,0,1,0,0
1,1,0,0,neutral,3,2,2,5,2,5,3,2,3,3,3,2,2,2,3,2,5,4,2,22,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,2,1,1,5,1,1,1,2,26,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,5,5,4,1,1,1,1,1,1,2,22,2,1,1,0,0
1,1,0,0,neutral,1,1,1,1,2,5,5,7,7,5,5,3,1,2,6,5,7,5,2,29,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,2,31,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,7,7,4,1,1,1,1,1,1,2,26,2,0,1,0,0
1,1,0,0,neutral,1,1,1,2,2,2,2,4,3,5,6,1,2,2,3,3,5,2,2,18,2,1,1,0,0
1,1,0,0,neutral,1,7,1,6,7,5,1,1,1,1,1,1,1,4,1,1,1,1,2,31,2,1,1,0,0
1,1,0,0,neutral,1,1,2,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,2,28,1,0,1,0,0
1,1,0,0,neutral,1,1,1,5,5,5,1,1,1,4,5,3,1,1,1,1,1,1,2,33,2,1,1,0,0
1,1,0,0,neutral,1,1,1,3,5,3,1,1,1,6,6,6,1,1,1,1,1,1,2,37,2,0,1,0,0
1,1,0,0,neutral,1,1,1,6,6,6,2,2,2,2,2,2,7,7,1,1,3,1,2,21,1,0,1,0,0
1,1,0,0,neutral,1,3,5,7,7,5,5,5,6,1,1,1,3,6,5,5,6,6,2,25,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,2,22,2,0,1,0,0
1,1,0,0,neutral,1,1,1,2,2,2,2,2,2,6,6,4,3,3,1,1,1,1,2,31,2,1,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,7,2,2,1,1,1,1,2,20,1,0,1,0,0
1,1,0,0,neutral,1,2,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,2,18,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,2,19,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,6,1,1,3,2,5,2,2,20,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,6,2,2,2,6,5,4,2,2,5,2,2,2,2,20,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,2,28,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,5,6,6,2,3,6,5,6,3,2,37,2,0,1,0,0
1,1,0,0,neutral,1,1,1,5,5,2,1,1,1,7,7,6,1,1,1,1,1,1,2,35,2,0,1,0,0
1,1,0,0,neutral,1,3,1,5,4,4,6,6,2,5,5,5,5,4,2,2,2,4,2,18,2,0,1,0,0
1,1,0,0,neutral,5,5,3,4,6,5,4,6,4,5,5,3,5,4,4,3,3,5,2,22,2,0,1,0,0
1,1,0,0,neutral,1,1,1,5,5,5,1,1,1,2,2,2,2,2,1,1,1,1,2,22,2,1,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,6,1,1,2,2,2,2,2,21,2,0,1,0,0
1,1,0,0,neutral,1,1,1,2,4,2,2,2,2,4,4,3,2,2,2,2,2,2,2,21,1,0,1,0,0
1,1,0,0,neutral,2,1,1,5,3,4,4,2,5,4,4,3,3,2,2,1,1,1,2,28,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,4,5,6,1,1,1,1,1,1,2,30,1,0,1,0,0
1,1,0,0,neutral,1,1,1,5,4,7,1,1,1,1,1,1,1,1,1,1,1,1,2,57,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,5,1,1,1,1,1,1,2,29,1,0,1,0,0
1,1,0,0,neutral,2,2,2,6,6,6,3,3,3,2,2,2,2,2,2,2,2,2,2,31,2,0,1,0,0
1,1,0,0,neutral,1,1,1,5,5,2,1,1,1,5,5,6,2,2,2,2,2,2,2,28,1,0,1,0,0
1,1,0,1,neutral,2,2,5,5,6,6,2,2,2,2,2,2,3,3,3,2,2,2,1,32,2,1,1,0,0
1,1,0,0,neutral,1,1,1,2,2,3,5,3,5,2,2,1,2,5,3,3,3,3,2,26,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,7,5,2,1,2,1,1,1,2,21,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,2,6,6,6,2,1,1,1,1,1,2,23,2,0,1,0,0
1,1,0,0,neutral,1,1,1,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,2,28,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,7,1,4,4,4,4,4,4,4,4,4,2,33,1,0,1,0,0
1,1,0,0,neutral,1,1,1,2,2,5,2,2,5,3,3,2,2,2,5,5,6,5,2,25,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,6,7,1,1,1,1,1,5,1,1,1,1,1,2,24,2,0,1,0,0
1,1,0,0,neutral,3,2,2,2,2,3,3,2,5,4,5,6,3,4,3,2,2,2,2,30,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,2,1,1,3,5,6,7,1,2,1,1,5,5,2,26,1,0,1,0,0
1,1,0,0,neutral,1,1,1,2,2,1,1,1,1,4,4,3,1,1,2,1,1,1,2,37,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,5,5,4,1,1,2,2,1,1,2,30,1,1,1,0,0
1,1,0,0,neutral,1,1,1,2,2,2,2,1,1,3,3,1,1,1,1,1,1,1,2,37,2,1,1,0,0
1,1,0,0,neutral,1,1,1,1,1,3,1,1,1,6,6,5,1,1,2,2,2,2,2,21,1,0,1,0,0
1,1,0,0,neutral,1,1,1,4,4,5,4,1,1,1,1,1,1,1,7,4,5,4,2,34,2,0,1,0,0
1,1,0,0,neutral,1,1,1,2,2,2,2,2,2,5,5,4,2,2,2,2,2,2,2,21,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,7,4,1,1,1,1,5,2,2,32,1,1,1,0,0
1,1,0,0,neutral,2,1,1,5,5,3,1,1,2,6,7,5,5,2,1,2,2,1,2,25,1,1,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,2,22,2,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,2,25,2,0,1,0,0
1,1,0,0,neutral,1,1,1,2,2,1,1,1,1,5,5,2,1,1,2,2,1,1,2,23,2,0,1,0,0
1,1,0,0,neutral,1,1,1,3,5,2,1,1,1,1,1,1,3,2,2,3,3,3,2,29,1,0,1,0,0
1,1,0,0,neutral,5,1,4,7,6,6,3,1,2,1,2,1,1,1,1,2,6,7,2,29,1,0,1,0,0
1,1,0,0,neutral,1,1,1,1,1,1,1,1,1,5,6,5,1,1,1,1,1,1,2,40,2,0,1,0,0
1,1,1,0,inauthenticity,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,5,5,1,39,2,0,0,0,1
1,1,1,0,inauthenticity,2,2,2,5,5,3,5,3,5,2,2,2,5,5,6,6,6,6,1,36,2,0,0,0,1
1,1,1,0,inauthenticity,5,5,5,5,5,5,4,4,5,1,1,1,5,5,1,1,5,1,1,32,1,1,0,0,1
1,1,1,0,inauthenticity,6,6,6,7,7,7,7,6,7,1,1,1,6,6,1,1,5,5,1,31,2,1,0,0,1
1,1,1,0,inauthenticity,1,1,1,2,5,5,5,2,6,2,2,2,2,2,6,5,5,4,1,38,1,0,0,0,1
1,1,1,0,inauthenticity,4,2,1,3,3,4,4,4,5,2,2,1,5,5,4,5,5,4,1,18,2,0,0,0,1
1,1,1,0,inauthenticity,5,5,5,3,3,4,6,6,6,3,3,3,5,6,3,3,5,4,1,34,1,1,0,0,1
1,1,1,0,inauthenticity,2,2,2,6,5,5,2,2,5,2,2,2,7,6,2,1,1,3,1,31,1,0,0,0,1
1,1,1,0,inauthenticity,5,4,3,6,5,6,3,2,2,2,2,2,4,4,2,2,3,2,1,31,1,0,0,0,1
1,1,1,0,inauthenticity,3,5,6,4,6,6,5,6,6,1,1,1,5,5,1,3,2,5,1,46,2,1,0,0,1
1,1,1,0,inauthenticity,4,4,5,6,6,5,5,5,6,2,2,3,3,3,3,3,2,4,1,25,1,0,0,0,1
1,1,1,0,inauthenticity,1,1,1,7,6,5,1,1,1,4,4,6,5,1,1,1,1,1,1,31,2,0,0,0,1
1,1,1,0,inauthenticity,5,6,3,6,6,7,4,5,3,2,2,4,6,5,2,5,6,6,1,25,1,0,0,0,1
